dataset,modality,path,label,group_id,split
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1006568.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1008673.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1008730.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1010295.flac,1,fake:LA,val
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1017922.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1020908.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1033225.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1034049.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1048723.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1055758.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1066785.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1067573.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1091909.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1092958.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1095842.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1101986.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1106597.flac,1,fake:LA,val
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1110227.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1110836.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1121701.flac,1,fake:LA,val
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1125548.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1139972.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1152287.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1163071.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1167943.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1171974.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1184848.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1212385.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1221102.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1232522.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1232730.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1252766.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1262462.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1267719.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1268902.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1271634.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1288652.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1290841.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1294276.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1304826.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1317211.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1320493.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1323674.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1334436.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1334862.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1339468.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1344503.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1345527.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1345745.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1363550.flac,1,fake:LA,test
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1365588.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1366391.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1386774.flac,1,fake:LA,val
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1389822.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1396590.flac,1,fake:LA,val
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1428755.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1436061.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1445252.flac,1,fake:LA,train
asvspoof,audio,data\audio\asvspoof\fake\LA_D_1478460.flac,1,fake:LA,val
